id,yield
15289,4202.81
15290,6048.2183
15291,7223.557
15292,4689.556
15293,3796.1409
15294,5258.621
15295,7082.0796
15296,6656.2104
15297,8222.324
15298,4106.3477
15299,5821.168
15300,5684.079
15301,5586.5674
15302,5608.1914
15303,5017.207
15304,4729.7754
15305,4649.153
15306,6429.712
15307,5053.2095
15308,5970.951
15309,6493.8716
15310,7317.7993
15311,5574.4966
15312,5332.1143
15313,6727.3804
15314,4850.005
15315,4255.9443
15316,7567.9717
15317,5591.3276
15318,7740.2324
15319,8243.861
15320,6937.9277
15321,6767.9653
15322,2766.1426
15323,5953.132
15324,2780.944
15325,7621.557
15326,6289.841
15327,4188.8047
15328,7704.552
15329,7501.2324
15330,5299.763
15331,5935.2695
15332,6970.6294
15333,6342.2085
15334,5572.394
15335,8046.112
15336,4338.965
15337,7332.4595
15338,7125.236
15339,5648.9307
15340,6767.9653
15341,5685.2925
15342,5311.3066
15343,6932.71
15344,6266.7495
15345,4296.6533
15346,6312.232
15347,6508.474
15348,5409.801
15349,6641.1455
15350,4595.061
15351,6156.759
15352,5875.0713
15353,6766.426
15354,4351.1772
15355,4337.5967
15356,5857.781
15357,6436.138
15358,6983.3203
15359,4872.885
15360,4227.732
15361,5548.859
15362,6278.504
15363,6735.291
15364,5154.8135
15365,4371.467
15366,4729.7754
15367,7596.191
15368,4969.783
15369,5836.0205
15370,6602.5396
15371,3031.726
15372,4719.66
15373,6416.5073
15374,5787.628
15375,5559.672
15376,5950.4946
15377,5673.109
15378,4585.597
15379,6231.197
15380,7177.4805
15381,6292.747
15382,5790.8154
15383,7419.15
15384,5542.2324
15385,3806.5671
15386,3904.1729
15387,3851.6655
15388,6896.4995
15389,6278.504
15390,7998.579
15391,6488.942
15392,7152.6445
15393,5862.076
15394,5946.041
15395,5714.0195
15396,7077.421
15397,6757.007
15398,6214.3037
15399,5729.2715
15400,4841.2085
15401,6363.947
15402,6440.438
15403,6220.225
15404,7043.71
15405,6928.492
15406,8214.268
15407,5684.9673
15408,7596.191
15409,5774.7666
15410,5663.6226
15411,8128.6367
15412,6731.574
15413,6843.5225
15414,5783.731
15415,6104.9033
15416,6932.9116
15417,5871.58
15418,7397.3887
15419,4388.843
15420,3923.159
15421,6358.996
15422,3740.81
15423,6562.133
15424,6377.1226
15425,6877.017
15426,3697.7412
15427,7544.9473
15428,6451.755
15429,7182.52
15430,6507.489
15431,5625.497
15432,5361.589
15433,4855.3984
15434,8094.423
15435,3908.481
15436,4833.635
15437,4872.885
15438,5684.5073
15439,7388.2373
15440,5623.7144
15441,6835.341
15442,5255.4756
15443,4589.7163
15444,5870.3657
15445,3469.499
15446,6850.2163
15447,6559.278
15448,7351.3203
15449,8080.832
15450,7060.452
15451,5413.331
15452,4364.1147
15453,7404.765
15454,7262.174
15455,8291.334
15456,6697.0327
15457,6596.867
15458,5684.186
15459,6147.137
15460,5604.3057
15461,4982.1904
15462,5375.8716
15463,6659.8477
15464,6383.5615
15465,6784.362
15466,7178.5415
15467,7234.1685
15468,3428.624
15469,2644.4072
15470,7262.814
15471,7227.543
15472,6018.165
15473,5348.655
15474,6900.072
15475,5253.2275
15476,5411.4478
15477,5636.469
15478,4743.334
15479,7115.224
15480,7061.7056
15481,6417.5225
15482,5478.301
15483,6728.63
15484,6897.1475
15485,7370.0537
15486,6409.0913
15487,7920.533
15488,7562.9966
15489,5629.4824
15490,6559.931
15491,6788.824
15492,5304.9487
15493,7168.4263
15494,6446.9946
15495,6659.7114
15496,6734.1987
15497,4682.6416
15498,6687.4766
15499,6302.386
15500,7382.8696
15501,5506.968
15502,7579.054
15503,7354.681
15504,7150.547
15505,6377.3687
15506,4338.306
15507,4435.8545
15508,6281.79
15509,4080.3616
15510,5109.6655
15511,6627.572
15512,5459.5396
15513,6874.8164
15514,7627.932
15515,6725.3076
15516,5148.3687
15517,7484.8013
15518,7135.022
15519,7011.7153
15520,5765.8867
15521,6577.216
15522,6555.9653
15523,6666.336
15524,7196.397
15525,5618.954
15526,5733.281
15527,4460.7363
15528,3924.5645
15529,7187.5957
15530,6843.3013
15531,7017.445
15532,7187.852
15533,4666.2715
15534,7869.0073
15535,3760.0247
15536,6843.5625
15537,5386.56
15538,6659.8477
15539,7049.88
15540,6477.5386
15541,6649.578
15542,7058.444
15543,7124.9067
15544,4622.7646
15545,5010.664
15546,7496.147
15547,5561.516
15548,6113.5605
15549,7187.823
15550,6727.4155
15551,7026.6436
15552,6658.78
15553,4332.8784
15554,5603.6187
15555,6182.7144
15556,6725.2886
15557,7152.6445
15558,4008.2861
15559,5484.238
15560,7115.5034
15561,5769.6704
15562,7492.775
15563,6723.5913
15564,4079.1394
15565,6547.726
15566,5842.9507
15567,6641.4
15568,3657.546
15569,4367.5474
15570,5158.11
15571,5409.3604
15572,3979.5896
15573,5822.5938
15574,6428.269
15575,6643.8384
15576,4100.609
15577,5997.7197
15578,6609.8853
15579,3335.1484
15580,7554.8877
15581,6971.105
15582,6004.73
15583,3513.4822
15584,5651.162
15585,3950.5642
15586,6204.949
15587,8052.2964
15588,6596.929
15589,5698.6333
15590,5294.261
15591,6123.676
15592,7399.577
15593,7033.0312
15594,7052.928
15595,4109.295
15596,4553.8843
15597,5003.443
15598,5330.413
15599,5581.5303
15600,5511.726
15601,6067.4263
15602,7796.06
15603,4985.6484
15604,7910.7505
15605,6290.175
15606,7143.129
15607,5714.2007
15608,6918.914
15609,7294.0034
15610,6579.025
15611,4666.9873
15612,5036.571
15613,6553.332
15614,4405.5693
15615,6162.6963
15616,6371.025
15617,5538.1143
15618,6755.043
15619,6874.8164
15620,4895.295
15621,4196.979
15622,4097.534
15623,5358.8857
15624,5416.4365
15625,4225.428
15626,7357.509
15627,5492.6577
15628,6423.732
15629,5970.0435
15630,5380.1616
15631,5759.917
15632,5845.04
15633,4633.3945
15634,7150.8193
15635,5098.5503
